conversation_id,customer_message,conversation_context,gold_intent,should_escalate,escalation_reason,expected_response_points,severity,annotation_confidence,annotator_notes
984268.0,My order still not delivered by #Amazon [USER]\1and no notification where it is\1when will delivered\1,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2296658.0,[USER] Items were added to my baby registry that I never added “sponsored” items that just showed up. I was also supposed to get a free e-book with the registry but I got charged for it. I called and was given a credit but it was a promotional credit I guess which didn’t work.,,Payment & Billing,No,Standard billing inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
140925.0,[USER] goods never received on March order. Repeatly contacted seller. #help,,Customer Service Access,No,Support access inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
103088.0,"ORDER NOT DELIVERED WORST EXPERIENCE WITH AMAZON\1@ booked remi y1 on 22nov from wednesday sale,order not delivered nd got cancelled aftr 10 days of shippment. mr amazon i want my phone. worst service, i ever recieved. once in weekend sale. [USER] [USER] [USER] [URL]",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
572396.0,[USER] Update?,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2303911.0,[USER] I used online chat for some questions I had about some missing packages. It was like pulling teeth and took the cs rep over an hour asking for the same order numbers. After an hour without a clear answer they just ghosted me. Then another rep ghosted me and another. Then I called,"[USER] [USER] why is your customer service so terrible now? Spent hours on chat got nowhere. [USER] I'm so sorry for the trouble! This is not something we want for our customers. Without providing specific account or personal information, will you tell us more about the situation and what's going on? We're here to help! ^TG",Customer Service Access,No,Support access inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2285718.0,"Es tut mir leid [USER] , aber diese Titel sind keine Animes 😅 die gehören eher in dir kategorie Zeichentrick 🙈 [URL]",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1077772.0,Amazonプライム登録できた,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
612644.0,僕はいつからamazonプライム会員だったんだろう。,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
486673.0,[USER] How do I do that?,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2205117.0,"[USER] Hola AmazonHelp, por DEPOTMANIA, PEDIDO N.º 405-4344125-0822728. pero vamos me rebajareis los gastos de envio no? porque lo necesitaba hoy, mis niños se han ido a dormir en la casa nueva a OSCURAS",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1666577.0,Feeling cheated by [USER] [USER] my order's cancelled coz of their internal pricing error. #Earth's Most Customer- centric Company,,Customer Service Access,Yes,Fraud accusation or legal threat,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
2287688.0,[USER] USPS,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
561720.0,"[USER] Absolute F-ING JOKE! Ordered the 23rd of November, package lost by incompetent delivery driver, 6 hours on the phone on the last week and false promises over and over by customer support! I pay for prime and I am being treated like rubbish! [URL]",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2195576.0,"[USER] Non je ne l'ai pas fait, dans le suivi il était marqué de le faire à partir de demain. Ce qui m'inquiète c'est de n'avoir aucune date prévue",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
633587.0,What fcuk service u give to your coustmer shame on u [USER],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
380143.0,"Order no 4__credit_card__ is undeliverable, msg shwng as rejected by me. I haven't rejected it was purposely done by courier boy [USER]",,Payment & Billing,No,Standard billing inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
126330.0,[USER] It is 8:13PM and I am moving out from the address. I tried to cancel the request but not able to cancel through web and app.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
457734.0,[USER] Almost every “same day delivery” order I’ve placed in the past two months has arrived late. Today I placed my order two hours before the cut off time and the delivery has been pushed back again!,,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
280126.0,"Wusste garnicht, dass [USER] seit neustem Rechnungen für Artikel zustellt, die nie angekommen sind👍",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1661819.0,[USER] Was supposed to be dispatched Saturday and arrive on the 7th,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1828771.0,[USER] I want response from [USER] over this fraud,,Customer Service Access,Yes,Fraud accusation or legal threat,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
2309159.0,"[USER] Yep, it just appeared in my music! Thanks so much for responding :)","[USER] I'm so sorry for the trouble with your music purchase! If you go to your purchases under My Music, does the song appear there? You can view more info here: [URL] ^DG",Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
103848.0,"[USER] C'est étrange car au début c'est écrit : ""Nous sommes ravis de vous rappeler que vous bénéficiez de Prime Vidéo grâce à votre abonnement Amazon Prime \1""",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
419035.0,[USER] This my urgent requirement. Im requesting you to deliver it ASAP.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
318614.0,[USER] Any New telugu movies releasign,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1730730.0,"""Garantiertes"" Lieferdatum ist auch eher so ein Wunschtraum bei [USER] 😑",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
69768.0,"[USER] Thanks, the order is from Amazon. I've checked my order online repeatedly, and ""Delay in delivery due to external factors"" is the reason given. It was meant to be here last Friday :-(",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1768923.0,[USER] I have logged in and it says I’m no longer a prime member (because you guys cancelled it for me). I was never a member though and it was just a random charge. I wasn’t on a free trial either which is why I’m confused by the payment being taken. Is the free trial a year?,,Payment & Billing,No,Standard billing inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
931814.0,[USER] Will it port to your partner services through #MoviesAnywhere?,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1731179.0,Regarding amazon pay issue Yeasterday I am pay 200 rs to haptik using amazon pay payment gateway but somehow my payment is cancelled but after that message come from ur side your money will cradit in 5 days . but then after only 125 rs. cradite [USER] [USER],,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2807305.0,[USER] i got an alert saying my packages were delivered at 11:08am there are still no packages here. Where are my orders\1,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
272190.0,[USER] I can't find that magazine order. Very strange. It was the same time as BHG and Rachel Ray - neither of which auto-renewed.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1710115.0,[USER] No update is still received in my case. I have been delivered a piece of marble instead of mobile phone.,[USER] Thank you for sharing your details. We'll work on it and send a correspondence via email. ^SM,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
348150.0,"Worst courier services in the market [USER] amazon transportation services, please contact seller,ask for other services other than ATS.",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1860195.0,"[USER] This is 3rd time in same month, amazon did blunder with pathetic service with me. I will be running compaign against [USER]",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1059294.0,[USER] [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
179927.0,[USER] I requested for a callback thru email ystrdy. I tweeted whn I didn’t recv any call evn tdy. day has passed in ths backnforth. It’s pathetic!,,Customer Service Access,No,Support access inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
427790.0,[USER] ご対応ありがとうございます。。,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1322577.0,[USER] Team had order 2 product order number are # 407-7922962-3876303 &amp; # 407-1290032-8514749. due to some network issue (1/2),,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1334309.0,[USER] Pass My Parcel West End News 30a West End HU15 2EY Brough They won't print return label from the QR code you sent me.They say they never do!,,Delivery & Shipping,No,Standard refund request,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2909154.0,[USER] es läuft ja jetzt. und ich nutze die box. da kann ich keine links anklicken. ich verstehe es nur nicht. es verschwand einfach aus dem aktuell-stream und dann musste ich halt suchen.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1713151.0,"[USER] [USER] Hola, tengo una cuenta en Amazon y no puedo recuperar mi contraseña, este es mi correo: __email__",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
709470.0,"[USER] just ordered a book from you and it has all the text cut off at the bottom, you can see the gap at the top too. #what [URL]",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2292286.0,[USER] How is one supervisor to remember what was said when trying to resolve the issue for one case when thousands of cases are made everyday,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
579902.0,[USER] [USER] 今子供と観ていますが、涙と笑いありの素晴らしいエンターテイメントでした！しばらく続けて観ます！最高！,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
334053.0,[USER] UR Amazon home services team is literally showing me HELL with your idiotic and false promises. 20days still installation not done.,,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
317491.0,[USER] I have already written to the link twice. Order is moving at snail's pace. 5 days to deliver a 30k product to a state capital! Amaz(on)ed.,,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1301800.0,[USER] Como se llama la cancion? :v,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2276480.0,"[USER] Je vous informe que pour utiliser votre chèque-cadeau, vous devez entrer le code chèque-cadeau tel qu’il apparait dans l’email que vous avez reçu ou sur la carte cadeau, dans la case intitulée « Codes chèques-cadeaux et codes promotionnels” sur la page de validation de votre comm",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2724574.0,"[USER] Os he mandado un MD con una pequeña incidencia, lo podéis revisar? Gracias.",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
123418.0,[USER] hiya. How can I see an items returns policy before I buy? I can't see anything in the app,,Delivery & Shipping,No,Standard refund request,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2385231.0,"Ever tried to close an [USER] account? Let me tell you it’s a nightmare! More clicks and tricks &amp; waits and intrusions than anything, ever",,Account & Security,Yes,Security risk: account access requires verification,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
1873851.0,Fastest ticket buying ever\1 [USER] you absolute fucking legends! See you in Delamere [USER] ❤️🙌🏼❤️,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
981033.0,[USER] will 5 episodes of a show suffice? Or is there a need to watch 5 different shows or movies? #SuperDiwali,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1694399.0,偽Amazonのアカウントロックメールが届いたけど、迷惑に行かなかったから危ない。疑問に思ったらメールアドレスごと検索と本家のサイトにログインされてるかの確認は大事,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
95280.0,"[USER] donos do melhor atendimento ao cliente, donos do meu coração❤️",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1097324.0,"[USER] its just not applying, support is just transferring me back and forth",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
347497.0,Since oct 3 I've placed return request. Yet there is no pick up. What wrong with you guys [USER] and your courier service [USER],,Delivery & Shipping,No,Standard refund request,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1608788.0,[USER] [USER] Really Poor service for my order no 402-1964321-3794765. Ordered a watch from Amazon nd see how i got it. 1/3 [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2319117.0,Amazonさんで届いた品物が無理くり郵便受けに押し込まれててバッキバキになってたんだけどどうしたらいいのこれ [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1742639.0,A bit worried about my delivery of my #XboxOneX #ProjectScorpio today. Amazon says I should get it today but worried by the details I see 😯 and why USPS instead of UPS 🤔🤔confused\1 #FeelTruePower [URL],,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
762427.0,[USER] I did contact the same and I'm getting no useful reply. I just want a genuine answer from you,,Customer Service Access,No,Support access inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
779299.0,[USER] [USER] Pls provide the details,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
403062.0,[USER] It's an amazon.es account. The link you provided shows no orders 😖,,Account & Security,Yes,Security risk: account access requires verification,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
2367888.0,[USER] 昨日無事に商品が届きました(*^-^*)♪♪ 色々ご配慮して頂き、ありがとうございましたm(_ _)m。また今後ともよろしくお願い致します。,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
868030.0,"[USER] não, depois de 20 minutos desliguei a chamada",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
719862.0,[USER] Done,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1491464.0,[USER] Ok thanks it really should be this difficult,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2291048.0,[USER] non normalement j’aurais du être livrée entre le 4 et le 8 novembre mais ma commande a été expédiée le 6,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1495565.0,[USER] いつもお世話になっております！この箱がないと猫が不満をもらすほどのお気に入りです😻,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2318032.0,Can u pls help me with the status of Order ID 408-6278120-7901123 \1 has the refund been initiated [USER],,Delivery & Shipping,No,Standard refund request,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2810446.0,"[USER] Já, tudo certo! 😍",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
837128.0,"[USER] - trying to return a package, no one came to collect yesterday! Hermes left a note the day before saying they were coming?",,Delivery & Shipping,No,Standard refund request,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
689209.0,[USER] [USER] I didn't realize this was a thing that was happening but now I'm kind of pissed.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2774138.0,[USER] tomorrow I will file a case in Delhi court against Order # 405-7739204-775556. Be ready,,Customer Service Access,Yes,Fraud accusation or legal threat,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
2403910.0,"[USER] Different couriers, they cannot work the difference between a house and flats. The postcodes are different. I have put a note on my front door. They still leave them. I have a parcel now. One of your couriers refused to deliver it today",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1307256.0,[USER] how can I get my display screen to zoom out? [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2283490.0,[USER] my parcel says it’s been delivered but it hasn’t. And I can’t find any info re the carrier\1,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
793831.0,"I'd have rathered the candle, [USER] [USER] [URL]",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
676936.0,アマゾンプライムで買い物 注文から2時間ちょっとで到着スゴ [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
726140.0,[USER] : Is there any check been made on Amazon india delivery guys ? Seen many incidents of frauds happening,,Customer Service Access,Yes,Fraud accusation or legal threat,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
1222650.0,[USER] [USER] I paid extra 100 rs as i wanted product today Now i received sms that it would not be delivered today &amp; will be done 2morrow 2/2,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1026201.0,[USER] Your in-house shipping consistently fails to deliver my orders. How do I get you to stop using it for my future orders?,,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1428560.0,[USER] Item arrived in Bangalore at 12 am. Can u ask ur people to get this delivered today? [URL],,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1327707.0,Won't be paying for [USER] prime again! Deliveries 'attempted' at the same time I recieved one! Absolute joke! #cancellingmysubscriptions,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2299614.0,"[USER] I've sent three messages: no solution. Your courier has the items, they can return them to you. Full refund: Yes/No?",,Delivery & Shipping,No,Standard refund request,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1556271.0,Prime now. Gut bei Rückenschmerzen. [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2942074.0,"When you call [USER] because drivers are pitching packages 20 feet at doors on your street, and they just tell you to ""note your account to not throw packages"" with 0 concern.",,Account & Security,Yes,Security risk: account access requires verification,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
947241.0,[USER] AMZL US was the carrier,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
304022.0,I love [URL] but Amazon India has to figure out it's operations and logistics. It's quite badly operated.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
390765.0,[USER] Ok will try and thank u so much for running such a wonderful contest for the customers.,[USER] We will be running contests from time to time. You can check all the ongoing contests on our website/app. ^MA,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
971839.0,[USER] Items for me and a new box for the little guy. Thanks for making everyone happy! [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
124800.0,[USER] To order again!,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2523340.0,Amazonの箱気に入ったみたいで出たり入ったりしてる #オカメインコ [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1474025.0,[USER] Still waiting for Echo invite. Seems invitation required only in India? US prebooking open to public? Not fair!,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
553372.0,"[USER] Well, it would have been much simplier if the guy actually did his job, I'm gonna lost 2 days because of him. Anyway, it's Amazon.fr but the issue has been ""resolved"". The less worse of the option I have \1",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
475076.0,Amazonで欲しかった物を購入。３～４年くらい前のDVDだから初回版が新品で手には入るなんてと嬉しかったが届いたら未開封なのにバッキバキ( ；∀；)交換してくれるかなぁ。在庫あるだろか？ [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
389925.0,[USER] You are not helping me.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1751748.0,"Ngl, I'm so used to [USER] prime shipping that when I select ""standard shipping"" for online shopping I forget that means 5-7 days\1🙃",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
980472.0,"[USER] It's very strange that I can sign in Amazon App with my CN account. After I signed in Amazon App, Kindle App worked automatically.",,Account & Security,Yes,Security risk: account access requires verification,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
